"ORDEPREC,N,6,0","GRARARTI,C,10","CODILIST,C,1","ANTEPREC,N,19,6","FEANPREC,D","ACTUPREC,N,19,6","FEACPREC,D","CODIMONE,C,1","CAANPREC,N,10,0","CANTPREC,N,10,0"
389812,633501,V,"30400,405044",10/03/2026,"30400,405044",16/03/2026,,1,1
389822,633502,V,"26391,904403",10/03/2026,"26391,904403",16/03/2026,,1,1
389832,633503,V,"24208,703162",10/03/2026,"24208,703162",16/03/2026,,1,1
389845,633504,V,"83226,717051",10/03/2026,"83226,717051",16/03/2026,,1,1
391468,633000,V,"217745,641227",25/11/2025,"217745,641227",09/12/2025,,1,1
391470,633001,V,"96025,65092",25/11/2025,"96025,65092",09/12/2025,,1,1
391473,633002,V,"90369,588576",10/03/2026,"90369,588576",16/03/2026,,1,1
391476,633003,V,"113872,820614",10/03/2026,"113872,820614",16/03/2026,,1,1
391478,633004,V,"95299,534808",25/11/2025,"95299,534808",09/12/2025,,1,1
391481,633005,V,"77156,186175",25/11/2025,"77156,186175",09/12/2025,,1,1
391484,633006,V,"109358,480314",10/03/2026,"109358,480314",16/03/2026,,1,1
391487,633007,V,"155447,745089",10/03/2026,"155447,745089",16/03/2026,,1,1
391490,633008,V,"187177,10834",10/03/2026,"187177,10834",16/03/2026,,1,1
391493,633009,V,"113072,182059",10/03/2026,"113072,182059",16/03/2026,,1,1
391495,633010,V,"105081,083166",25/11/2025,"105081,083166",09/12/2025,,1,1
391498,633011,V,"139871,599077",10/03/2026,"139871,599077",16/03/2026,,1,1
391501,633012,V,"212960,918217",10/03/2026,"212960,918217",16/03/2026,,1,1
391503,633013,V,"60775,579944",25/11/2025,"60775,579944",09/12/2025,,1,1
391506,633014,V,"46541,778157",10/03/2026,"46541,778157",16/03/2026,,1,1
391509,633015,V,"64150,548826",10/03/2026,"64150,548826",16/03/2026,,1,1
391512,633016,V,"33388,582125",10/03/2026,"33388,582125",16/03/2026,,1,1
391514,633017,V,"117355,311702",25/11/2025,"117355,311702",09/12/2025,,1,1
391517,633018,V,"433918,051014",10/03/2026,"433918,051014",16/03/2026,,1,1
391519,633019,V,"358554,841945",25/11/2025,"358554,841945",09/12/2025,,1,1
391522,633020,V,"80578,243414",10/03/2026,"80578,243414",16/03/2026,,1,1
391524,633021,V,"81971,482495",25/11/2025,"81971,482495",09/12/2025,,1,1
391527,633022,V,"121955,639436",10/03/2026,"121955,639436",16/03/2026,,1,1
391530,633023,V,"217917,616096",10/03/2026,"217917,616096",16/03/2026,,1,1
391533,633024,V,"109143,511728",10/03/2026,"109143,511728",16/03/2026,,1,1
